Actor,gender,actor_id
Tim Roth,Male,1
Antonio Banderas,Male,2
Jennifer Beals,Female,3
Madonna,Female,4
Marisa Tomei,Female,5
Bruce Willis,Male,6
Quentin Tarantino,Male,7
Sammi Davis,Female,8
Amanda de Cadenet,Female,9
Valeria Golino,Female,10
Lili Taylor,Female,11
Lawrence Bender,Male,12
Ione Skye,Female,13
Alicia Witt,Female,14
David Proval,Male,15
Lana McKissack,Female,16
Tamlyn Tomita,Female,17
Kathy Griffin,Female,18
Paul Calderon,Male,19
Salma Hayek,Female,20
Patricia Vonne,Female,21
Danny Verduzco,Unspecified,22
Kimberly Blair,Unspecified,23
Marc Lawrence,Male,24
Mark Hamill,Male,25
Harrison Ford,Male,26
Carrie Fisher,Female,27
Peter Cushing,Male,28
Alec Guinness,Male,29
Anthony Daniels,Male,30
Kenny Baker,Male,31
Peter Mayhew,Male,32
David Prowse,Male,33
James Earl Jones,Unspecified,34
Phil Brown,Male,35
Shelagh Fraser,Female,36
Jack Purvis,Male,37
Eddie Byrne,Male,38
Denis Lawson,Male,39
Garrick Hagon,Male,40
Don Henderson,Male,41
Leslie Schofield,Male,42
Richard LeParmentier,Male,43
Michael Leader,Male,44
Alex McCrindle,Male,45
Drewe Henley,Male,46
Jack Klaff,Male,47
William Hootkins,Male,48
Angus MacInnes,Male,49
Jeremy Sinden,Male,50
Graham Ashley,Male,51
David Ankrum,Male,52
Mark Austin,Male,53
Scott Beach,Male,54
Lightning Bear,Male,55
Jon Berg,Male,56
Doug Beswick,Unspecified,57
Paul Blake,Male,58
Janice Burchette,Unspecified,59
Ted Burnett,Male,60
John Chapman,Male,61
Gilda Cohen,Male,62
Tim Condren,Male,63
Barry Copping,Unspecified,64
Alfie Curtis,Male,65
Robert Davies,Unspecified,66
Maria De Aragon,Female,67
Robert A. Denham,Unspecified,68
Frazer Diamond,Unspecified,69
Peter Diamond,Male,70
Warwick Diamond,Unspecified,71
Sadie Eden,Unspecified,72
Kim Falkinburg,Unspecified,73
Harry Fielder,Male,74
Ted Gagliano,Unspecified,75
Salo Gardner,Unspecified,76
Steve Gawley,Unspecified,77
Barry Gnome,Unspecified,78
Rusty Goffe,Unspecified,79
Isaac Grand,Unspecified,80
Nelson Hall,Unspecified,81
Reg Harding,Unspecified,82
Alan Harris,Male,83
Frank Henson,Unspecified,84
Christine Hewett,Unspecified,85
Arthur Howell,Unspecified,86
Tommy Ilsley,Unspecified,87
Joe Johnston,Male,88
Annette Jones,Unspecified,89
Linda Jones,Unspecified,90
Joe Kaye,Unspecified,91
Colin Michael Kitchens,Unspecified,92
Melissa Kurtz,Unspecified,93
Tiffany L. Kurtz,Unspecified,94
Al Lampert,Unspecified,95
Anthony Lang,Unspecified,96
Laine Liska,Unspecified,97
Derek Lyons,Male,98
Mahjoub,Unspecified,99
Alf Mangan,Unspecified,100
Rick McCallum,Unspecified,101
Grant McCune,Unspecified,102
Geoffrey Moon,Unspecified,103
Mandy Morton,Unspecified,104
Lorne Peterson,Unspecified,105
Marcus Powell,Unspecified,106
Shane Rimmer,Male,107
Pam Rose,Unspecified,108
George Roubicek,Male,109
Erica Simmons,Unspecified,110
Angela Staines,Unspecified,111
George Stock,Unspecified,112
Roy Straite,Unspecified,113
Peter Sturgeon,Unspecified,114
Peter Sumner,Unspecified,115
John Sylla,Unspecified,116
Tom Sylla,Unspecified,117
Malcolm Tierney,Male,118
Phil Tippett,Male,119
Burnell Tucker,Unspecified,120
Morgan Upton,Unspecified,121
Jerry Walter,Unspecified,122
Hal Wamsley,Unspecified,123
Larry Ward,Male,124
Diana Sadley Way,Unspecified,125
Harold Weed,Unspecified,126
Bill Weston,Male,127
Steve 'Spaz' Williams,Unspecified,128
Fred Wood,Unspecified,129
Colin Higgins,Unspecified,130
Albert Brooks,Male,131
Ellen DeGeneres,Female,132
Alexander Gould,Male,133
Willem Dafoe,Male,134
Brad Garrett,Male,135
Allison Janney,Female,136
Austin Pendleton,Male,137
Stephen Root,Male,138
Vicki Lewis,Female,139
Joe Ranft,Unspecified,140
Geoffrey Rush,Male,141
Andrew Stanton,Male,142
Elizabeth Perkins,Female,143
Nicholas Bird,Male,144
Bob Peterson,Male,145
Barry Humphries,Male,146
Eric Bana,Male,147
Bruce Spence,Male,148
Bill Hunter,Male,149
LuLu Ebeling,Female,150
Jordan Ranft,Unspecified,151
Erica Beck,Unspecified,152
Erik Per Sullivan,Male,153
John Ratzenberger,Male,154
Tom Hanks,Male,155
Robin Wright,Female,156
Gary Sinise,Male,157
Mykelti Williamson,Male,158
Sally Field,Female,159
Michael Conner Humphreys,Male,160
Hanna Hall,Female,161
Haley Joel Osment,Male,162
Siobhan Fallon,Female,163
Afemo Omilami,Male,164
Peter Dobson,Male,165
Sonny Shroyer,Male,166
George Kelly,Male,167
Sam Anderson,Male,168
Margo Moorer,Unspecified,169
Christopher Jones,Male,170
Kevin Mangan,Unspecified,171
Brett Rice,Male,172
Daniel C. Striepeke,Male,173
David Brisbin,Unspecified,174
Kirk Ward,Male,175
Marlena Smalls,Unspecified,176
Kitty K. Green,Female,177
Mark Matheisen,Male,178
Al Harrington,Male,179
Jed Gillin,Unspecified,180
Don Fischer,Male,181
Matt Wallace,Unspecified,182
Mike Jolly,Male,183
Michael Kemmerling,Male,184
John Voldstad,Unspecified,185
Daniel J. Gillooly,Unspecified,186
Michael Burgess,Unspecified,187
Steven Griffith,Unspecified,188
Michael McFall,Male,189
Byron Minns,Male,190
Stephen Bridgewater,Male,191
John William Galt,Male,192
Isabel Rose,Unspecified,193
Richard D'Alessandro,Unspecified,194
Michael Jace,Male,195
Geoffrey Blake,Male,196
Vanessa Roth,Female,197
Dick Cavett,Male,198
Tiffany Salerno,Unspecified,199
Joe Alaskey,Male,200
Lazarus Jackson,Unspecified,201
Nora Dunfee,Unspecified,202
Hallie D'Amore,Unspecified,203
Michael Mattison,Male,204
Charles Boswell,Male,205
Timothy McNeil,Male,206
Bob Penny,Male,207
Greg Brown,Unspecified,208
Troy Christian,Male,209
Bryan Hanna,Male,210
Zach Hanner,Unspecified,211
Aaron Michael Lacey,Unspecified,212
Jacqueline Lovell,Female,213
Brendan Shanahan,Unspecified,214
William Shipman,Unspecified,215
Robb Skyler,Male,216
Mary Ellen Trainor,Unspecified,217
Kevin Spacey,Male,218
Annette Bening,Female,219
Thora Birch,Female,220
Wes Bentley,Male,221
Mena Suvari,Female,222
Chris Cooper,Male,223
Scott Bakula,Male,224
Peter Gallagher,Male,225
Sam Robards,Male,226
Barry Del Sherman,Male,227
John Cho,Male,228
Hal Fort Atkinson,Male,229
Kent Faulcon,Male,230
Ara Celi,Female,231
Sue Casey,Female,232
Brenda Wehle,Female,233
Lisa Cloud,Female,234
Amber Smith,Female,235
Joel McCrary,Male,236
Marissa Jaret Winokur,Female,237
Dennis Anderson,Unspecified,238
Matthew Kimbrough,Male,239
Erin Cathryn Strubbe,Unspecified,240
Alison Faulk,Female,241
Krista Goodsitt,Unspecified,242
Lily Houtkin,Female,243
Carolina Lancaster,Female,244
Mona Leah,Female,245
Chekesha Van Putten,Female,246
Emily Zachary,Female,247
Nancy Anderson,Female,248
Reshma Gajjar,Female,249
Stephanie Rizzo,Female,250
Heather Joy Sher,Female,251
Chelsea Hertford,Female,252
Elaine Corral Kendall,Female,253
David C. Fisher,Male,254
Tom Miller,Male,255
Bruce Cohen,Male,256
Bju00f6rk,Female,257
Catherine Deneuve,Female,258
David Morse,Male,259
Peter Stormare,Male,260
Joel Grey,Male,261
Cara Seymour,Female,262
Vladica Kostic,Unspecified,263
Jean-Marc Barr,Male,264
Vincent Paterson,Unspecified,265
Zeljko Ivanek,Male,266
Udo Kier,Male,267
Jens Albinus,Male,268
Reathel Bean,Unspecified,269
Mette Berggreen,Unspecified,270
Lars Michael Dinesen,Unspecified,271
Katrine Falkenberg,Female,272
Michael Flessas,Unspecified,273
John Randolph Jones,Male,274
Stellan Skarsgu00e5rd,Male,275
Paprika Steen,Unspecified,276
Noah Lazarus,Unspecified,277
John Martinus,Male,278
Luke Reilly,Unspecified,279
Sean-Michael Smith,Male,280
Al Agami,Unspecified,281
Anna Norberg,Unspecified,282
Troels Asmussen,Unspecified,283
Caroline Sascha Cogez,Unspecified,284
Gary Oldman,Male,285
Ian Holm,Male,286
Milla Jovovich,Female,287
Chris Tucker,Male,288
Luke Perry,Male,289
Brion James,Male,290
Tom Lister Jr.,Male,291
Vin Diesel,Male,292
Lee Evans,Male,293
Charlie Creed-Miles,Male,294
Tricky,Male,295
John Neville,Male,296
John Bluthal,Male,297
Mathieu Kassovitz,Male,298
Christopher Fairbank,Male,299
Kim Chan,Unspecified,300
Julie T. Wallace,Female,301
Al Matthews,Male,302
Mau00efwenn,Female,303
Mac McDonald,Male,304
Indra Ovu00e9,Unspecified,305
Genevieve Maylam,Female,306
Jason Salkey,Male,307
Michael Culkin,Male,308
Hon Ping Tang,Male,309
Vincenzo Pellegrino,Male,310
Richard Leaf,Male,311
Ivan Heng,Unspecified,312
Sonita Henry,Female,313
Tim McMullan,Male,314
George Khan,Unspecified,315
John Hughes,Unspecified,316
Roberto Bryce,Unspecified,317
Said Talidi,Unspecified,318
Clifton Lloyd Bryan,Unspecified,319
Justin Lee Burrows,Unspecified,320
Richard Ashton,Male,321
