actor_id,character_name,cast_order,movie_id
1,Ted the Bellhop,0,5
1,Mr. Orange/Freddy Newandyke,1,500
1,Pumpkin,7,680
1,General Thade,1,869
1,Emil Blonsky / Abomination,2,1724
1,George,1,8461
1,Jeff Platzer,2,9009
2,Man,1,5
2,Armand,3,628
2,Puss In Boots (voice),4,809
2,Puss in Boots (voice),4,810
2,David Alfaro Siqueiros,7,1360
2,El Mariachi,0,1428
2,Zorro,0,1656
2,Ahmad Ibn Fadlu0101n,0,1911
2,Luis Antonio Vargas,1,2057
2,El Mariachi,0,8068
2,Chu00e9,1,8818
2,Nicolas Bardo,1,9280
2,Alejandro Murrieta / Zorro,0,9342
2,Gregorio Cortez,0,9488
2,Miguel Bain,1,9691
2,Miguel Alvarez,4,9800
2,Gregorio Cortez,2,10054
2,Puss in Boots (voice),3,10192
2,Agent Jeremiah Ecks,0,10550
3,Angela,2,5
3,Alex Owens,0,535
3,Trish,4,1975
4,Elspeth,3,5
4,Abbie Reynolds,0,1831
4,Breathless Mahoney,2,8592
4,Eva Peru00f3n,0,8818
4,Princess Selenia (english voice),20,9992
5,Margaret,4,5
5,Lola,2,3981
5,Julie,1,8849
5,Ida Horowicz,5,10316
5,Mona Lisa Vito,2,10377
6,Leo,5,5
6,Korben Dallas,0,18
6,Harry S. Stamper,0,95
6,Himself,18,163
6,Mr. Goodkat,1,186
6,Det. John Hartigan,5,187
6,Hartigan,5,189
6,John McClane,0,562
6,Butch Coolidge,3,680
6,Malcolm Crowe,0,745
6,John McClane,0,1571
6,John McClane,0,1572
6,John McClane,0,1573
6,Jeff Talley,0,2026
6,Jimmy The Tulip Tudeski,0,2069
6,Jimmy,0,2122
6,Jack Mosley,0,2207
6,Joshep Blake,0,3172
6,Russell Duritz,0,4244
6,The Jackal,0,4824
6,Col. Doug Masterson (uncredited),59,5172
6,RJ (voice),0,7518
6,Himself,0,8944
6,Eddie 'Hudson Hawk' Hawkins,0,9292
6,Dr. Ernest Menville,1,9374
6,William Rose Bailey (uncredited),21,9471
6,Lieutenant A.K. Waters,0,9567
6,David Dunn,0,9741
6,Major-General William Devereaux,2,9882
6,Col. William A. McNamara,0,10592
7,Chester Rush,6,5
7,Mr. Brown,7,500
7,Jimmie Dimmick,10,680
7,Richard Gecko,1,755
7,Pick-Up Guy,6,8068
8,Jezebel,7,5
9,Diana,8,5
10,Athena,9,5
10,Susanna,2,380
10,Terri,8,451
10,Taslima,7,10061
11,Raven,10,5
11,Sarah Kendrew,10,243
11,Jamie Wilson,10,2604
11,Maris,4,3595
12,Long Hair Yuppy Scum,11,5
12,Long Hair Yuppy Scum,46,680
12,Bar Patron,30,7501
13,Eva,12,5
14,Kiva,13,5
14,Alia,20,841
14,Libby,9,1903
14,June Carver,2,2642
14,Kim Cummings,1,3489
14,Natalie Simon,0,9877
15,Siegfried,14,5
15,Tony DeVienazo,2,203
15,Snooze,12,278
15,Scally,5,2088
15,Victor Padiche,27,7516
15,Charlie Zephro,8,9826
15,Danny Sussman,7,9882
15,Guard Johnson,18,11015
16,Sarah,15,5
17,Wife,16,5
17,Janet Tokada,8,435
17,Mrs. Cheung,9,9030
18,Betty,17,5
18,Hit-and-run Witness,40,680
18,Cable Boy's Mother,15,9894
18,Dancing Witch / Wagon Witch #1 (voice),11,10192
18,Female Armed Guard,8,10208
19,Norman,18,5
19,Brown,15,470
19,Paul,22,680
19,Raymond Cruz,15,1389
19,Dellwo,5,2100
19,Hector - Medic,16,2142
19,Deputy Director Cortes,11,5820
20,TV Dancing Girl,19,5
20,Santanico Pandemonium,5,755
20,Frida Kahlo,0,1360
20,Carolina,1,1428
20,Serendipity,7,1832
20,Rosario,23,1900
20,Sara Sandoval,1,1969
20,Anita Randazzo,1,3682
20,Carolina,1,8068
20,Rita Escobar,3,8487
20,Nurse Rosa Harper,6,9276
20,Lola Cirillo,1,10589
21,Corpse,20,5
21,Dallas,42,187
21,Dallas,23,189
22,Juancho,21,5
23,Hooker,22,5
24,Sam the Bellhop,23,5
24,Slumber Inc. Attendant,13,681
24,Rodney,8,682
24,Motel Owner,13,755
24,"Acme VP, Stating the Obvious",6,10715
25,Luke Skywalker,0,11
25,Luke Skywalker,0,1891
25,Luke Skywalker,0,1892
25,Cock-Knocker,16,2294
26,Han Solo,1,11
26,Colonel Lucas,7,28
26,Rick Deckard,0,78
26,Indy,0,85
26,Indiana Jones,0,87
26,Indiana Jones,0,89
26,Indiana Jones,0,217
26,Martin Stett,4,592
26,Bob Falfa,11,838
