director_name,director_id
Quentin Tarantino,1
Robert Rodriguez,2
Allison Anders,3
Alexandre Rockwell,4
George Lucas,5
Andrew Stanton,6
Robert Zemeckis,7
Sam Mendes,8
Lars von Trier,9
Luc Besson,10
Fritz Lang,11
Gore Verbinski,12
Francis Ford Coppola,13
Clint Eastwood,14
David Silverman,15
Michel Gondry,16
Alejandro Gonzu00e1lez Iu00f1u00e1rritu,17
David Cronenberg,18
Stanley Kubrick,19
Curtis Hanson,20
James Mangold,21
Stephen Daldry,22
Tony Kaye,23
Steven Spielberg,24
Tim Burton,25
Richard Linklater,26
Christopher Nolan,27
Ridley Scott,28
Chris Kentis,29
Martin Brest,30
Michael Bay,31
Tony Scott,32
Guy Ritchie,33
Martin Scorsese,34
Tom Tykwer,35
John McTiernan,36
Brian De Palma,37
Garry Marshall,38
Joel Coen,39
Woody Allen,40
Peter Jackson,41
Hayao Miyazaki,42
Harold Ramis,43
Richard Kelly,44
Ang Lee,45
Robert Wise,46
Sofia Coppola,47
Nicholas Meyer,48
Leonard Nimoy,49
Steven Soderbergh,50
Iain Softley,51
Stephen Hopkins,52
Danny Boyle,53
William Shatner,54
Richard Fleischer,55
James Wan,56
Terry Gilliam,57
Sydney Pollack,58
Paul McGuigan,59
Frank Miller,60
David Carson,61
Jean-Pierre Jeunet,62
Mel Gibson,63
Jonathan Frakes,64
Stuart Baird,65
Terry George,66
Peter Weir,67
Darren Lynn Bousman,68
James Cameron,69
Pedro Almodu00f3var,70
Alfred Hitchcock,71
Kimberly Peirce,72
Stephen Gaghan,73
Rob Reiner,74
Billy Wilder,75
Stephen Frears,76
Paul Weitz,77
Chris Weitz,78
Frank Capra,79
Jerry Zucker,80
Mel Stuart,81
Guy Hamilton,82
Roman Polanski,83
Richard Brooks,84
Jonathan Demme,85
Len Wiseman,86
Frank Darabont,87
Milou0161 Forman,88
Fred Zinnemann,89
Michael Curtiz,90
Stacy Peralta,91
Jonathan Mostow,92
Franu00e7ois Ozon,93
John Landis,94
Tom Shadyac,95
Pitof,96
u00c9mile Gaudreault,97
David R. Ellis,98
Takeshi Kitano,99
Joe Johnston,100
Paul Thomas Anderson,101
Sergio Leone,102
Wolfgang Becker,103
David Frankel,104
Wes Craven,105
Barry Levinson,106
Wolfgang Petersen,107
Spike Lee,108
Sidney Lumet,109
Lasse Hallstru00f6m,110
Paul W.S. Anderson,111
Bennett Miller,112
Gary Fleder,113
Zach Braff,114
Bruce Beresford,115
David Hand,116
Anthony Minghella,117
Andrew Adamson,118
Joel Schumacher,119
Wes Anderson,120
Chris Wedge,121
Vincenzo Natali,122
Robert Stevenson,123
Roland Emmerich,124
Greg Strause,125
Colin Strause,126
Mike Figgis,127
Ron Howard,128
Baz Luhrmann,129
Gurinder Chadha,130
Darren Aronofsky,131
John Singleton,132
Gus Van Sant,133
Spike Jonze,134
Larry Charles,135
Patty Jenkins,136
Roger Avary,137
Richard Curtis,138
Roger Michell,139
Richard Donner,140
Nick Park,141
Steve Box,142
McG,143
Adrian Lyne,144
Bobby Farrelly,145
Peter Farrelly,146
Duncan Tucker,147
Robert Redford,148
Julian Schnabel,149
David Fincher,150
Sam Raimi,151
Paul Verhoeven,152
Sam Peckinpah,153
Jeannot Szwarc,154
Joseph Sargent,155
Kevin Costner,156
Florian Henckel von Donnersmarck,157
Pete Docter,158
Christophe Gans,159
Robert Mulligan,160
Fernando Meirelles,161
Ku00e1tia Lund,162
Lilly Wachowski,163
Lana Wachowski,164
Barry Sonnenfeld,165
Tobe Hooper,166
Oliver Hirschbiegel,167
Edward Zwick,168
John McNaughton,169
Mick Jackson,170
Randal Kleiser,171
Neil Jordan,172
Bryan Singer,173
Victor Fleming,174
Sharon Maguire,175
George Roy Hill,176
Terence Young,177
Elia Kazan,178
Jan de Bont,179
Walter Salles,180
Lewis Gilbert,181
Peter R. Hunt,182
Chris Columbus,183
Alfonso Cuaru00f3n,184
Mike Newell,185
David Yates,186
Tim Robbins,187
John Waters,188
Jay Roach,189
John Glen,190
Richard Lester,191
Martin Campbell,192
Jane Campion,193
Roger Spottiswoode,194
M. Night Shyamalan,195
Bernardo Bertolucci,196
Edgar Wright,197
James McTeigue,198
John Woo,199
James Algar,200
Paul Satterfield,201
Jim Handley,202
William Roberts,203
Wilfred Jackson,204
Hamilton Luske,205
Ford Beebe,206
Ben Sharpsteen,207
Samuel Armstrong,208
Norman Ferguson,209
T. Hee,210
Terry Jones,211
Albert Hughes,212
Allen Hughes,213
Jonathan Dayton,214
Valerie Faris,215
Andrew Niccol,216
Richard Attenborough,217
Cameron Crowe,218
Doug Liman,219
John Carpenter,220
Oliver Stone,221
Brad Silberling,222
Roger Kumble,223
Vicky Jenson,224
Kelly Asbury,225
Conrad Vernon,226
Chris Miller,227
Raman Hui,228
Ron Clements,229
John Musker,230
David Zucker,231
Jim Abrahams,232
Stanley Kramer,233
David Lean,234
David Lynch,235
Wong Kar-wai,236
Rob Bowman,237
Matthew Robbins,238
Peter Yates,239
Jean-Jacques Annaud,240
Chuck Russell,241
John Badham,242
John Lasseter,243
Jon Turteltaub,244
Paul Michael Glaser,245
Marc Forster,246
Gavin Hood,247
Gene Kelly,248
Stanley Donen,249
William Wyler,250
Brian Levant,251
Joe Ranft,252
Zack Snyder,253
Dean Parisot,254
Joe Dante,255
Carlos Saldanha,256
Ivan Reitman,257
Tom McGrath,258
Eric Darnell,259
J.J. Abrams,260
Mel Brooks,261
Robert Rossen,262
William Friedkin,263
Niki Caro,264
Josef Rusnak,265
Ken Loach,266
Bill Condon,267
James Ivory,268
Sylvester Stallone,269
Peter Webber,270
Mark Steven Johnson,271
Richard Eyre,272
Gu00e1bor Csupu00f3,273
David Ayer,274
Steve Bendelack,275
Kevin Munroe,276
Mary Harron,277
Julie Taymor,278
John G. Avildsen,279
Ted Kotcheff,280
George P. Cosmatos,281
Peter MacDonald,282
John Cameron Mitchell,283
Gabriele Muccino,284
Renny Harlin,285
Fenton Bailey,286
Randy Barbato,287
Guillermo del Toro,288
Michael Moore,289
Jonathan Caouette,290
Todd Field,291
Neil Burger,292
Donald Petrie,293
Michael Pressman,294
Stuart Gillard,295
Kevin Macdonald,296
Michael Mann,297
Mike Judge,298
Cu00e9dric Klapisch,299
Juan Carlos Fresnadillo,300
Rob Marshall,301
Alexander Witt,302
Nancy Meyers,303
David Koepp,304
Peyton Reed,305
Shawn Levy,306
Ronny Yu,307
Christopher McQuarrie,308
Xavier Gens,309
Paul Haggis,310
Irwin Winkler,311
Richard LaGravenese,312
Stephen Herek,313
Luc Jacquet,314
Ju00e9ru00f4me Maison,315
Taylor Hackford,316
Ted Post,317
Don Taylor,318
J. Lee Thompson,319
Eli Roth,320
Simon West,321
Steven Zaillian,322
John Madden,323
Louis Leterrier,324
Jerome Robbins,325
Jon Favreau,326
Rob Minkoff,327
Stephen Sommers,328
Rob Cohen,329
Davis Guggenheim,330
Herbert Ross,331
Joe Russo,332
Anthony Russo,333
Peter Segal,334
John Schlesinger,335
Kevin Smith,336
Jon Amiel,337
John Milius,338
Irvin Kershner,339
Richard Marquand,340
Jeremy Leven,341
Alejandro Amenu00e1bar,342
Pat O'Connor,343
Marc Webb,344
Sylvain White,345
Mark Neveldine,346
Brian Taylor,347
Eric Bress,348
J. Mackye Gruber,349
Michael Apted,350
Bruce Campbell,351
Espen Sandberg,352
Joachim Ru00f8nning,353
Takashi Shimizu,354
Tim Story,355
Michael Winterbottom,356
James Gray,357
Cristian Mungiu,358
Adam Shankman,359
