director_id,movie_id,title,budget,homepage,overview,popularity,release_date,revenue,runtime,movie_status,vote_average,vote_count
1,5,Four Rooms,4000000,,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,22.87623,09/12/1995 00:00,4300000,98,Released,6.5,530
1,24,Kill Bill: Vol. 1,30000000,http://www.miramax.com/movie/kill-bill-volume-1/,"An assassin is shot at the altar by her ruthless employer, Bill and other members of their assassination circle – but 'The Bride' lives to plot her vengeance. Setting out for some payback, she makes a death list and hunts down those who wronged her, saving Bill for last.",79.754966,10/10/2003 00:00,180949000,111,Released,7.7,4949
5,11,Star Wars,11000000,http://www.starwars.com/films/star-wars-episode-iv-a-new-hope,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,126.393695,25/05/1977 00:00,775398007,121,Released,8.1,6624
6,12,Finding Nemo,94000000,http://movies.disney.com/finding-nemo,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",85.688789,30/05/2003 00:00,940335536,100,Released,7.6,6122
7,13,Forrest Gump,55000000,,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",138.133331,06/07/1994 00:00,677945399,142,Released,8.2,7927
8,14,American Beauty,15000000,http://www.dreamworks.com/ab/,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",80.878605,15/09/1999 00:00,356296601,122,Released,7.9,3313
8,25,Jarhead,72000000,,"Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swafford and his unit are sent to the Persian Gulf where they are earger to fight but are forced to stay back from the action. Meanwhile Swofford gets news of his girlfriend is cheating on him. Desperately he wants to kill someone and finally put his training to use.",32.227223,04/11/2005 00:00,96889998,125,Released,6.6,765
9,16,Dancer in the Dark,12800000,,"Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings.",22.022228,17/05/2000 00:00,40031879,140,Released,7.6,377
10,18,The Fifth Element,90000000,,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",109.528572,07/05/1997 00:00,263920180,126,Released,7.3,3885
11,19,Metropolis,92620000,,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",32.351527,10/01/1927 00:00,650422,153,Released,8,657
12,22,Pirates of the Caribbean: The Curse of the Black Pearl,140000000,http://disney.go.com/disneyvideos/liveaction/pirates/main_site/main.html,"Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.",271.972889,09/07/2003 00:00,655011224,143,Released,7.5,6985
12,58,Pirates of the Caribbean: Dead Man's Chest,200000000,http://disney.go.com/disneypictures/pirates/,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",145.847379,20/06/2006 00:00,1065659812,151,Released,7,5246
13,28,Apocalypse Now,31500000,http://www.apocalypsenow.com,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, \""does not exist, nor will it ever exist.\"" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",49.973462,15/08/1979 00:00,89460381,153,Released,8,2055
14,33,Unforgiven,14000000,,"William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",37.380435,07/08/1992 00:00,159157447,131,Released,7.7,1113
14,66,Absolute Power,50000000,,A master thief coincidentally is robbing a house where a murder in which the President of The United States is involved occurs in front of his eyes. He is forced to run yet may hold evidence that could convict the President. A political thriller from and starring Clint Eastwood and based on a novel by David Baldacci.,13.576765,14/02/1997 00:00,50068310,121,Released,6.4,223
14,70,Million Dollar Baby,30000000,http://www.milliondollarbaby-derfilm.de/,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.",70.456012,15/12/2004 00:00,216763646,132,Released,7.7,2439
15,35,The Simpsons Movie,75000000,http://www.simpsonsmovie.com/,"After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",46.875375,25/07/2007 00:00,527068851,87,Released,6.9,2264
16,38,Eternal Sunshine of the Spotless Mind,20000000,http://www.eternalsunshine.com,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",56.481487,19/03/2004 00:00,72258126,108,Released,7.9,3652
17,55,Amores perros,2000000,,Three different people in Mexico City are catapulted into dramatic and unforeseen circumstances in the wake of a terrible car crash: a young punk stumbles into the sinister underground world of dog fighting; an injured supermodel's designer pooch disappears into the apartment's floorboards; and an ex-radical turned hit man rescues a gunshot Rotweiler.,23.281616,16/06/2000 00:00,20908467,154,Released,7.6,521
18,59,A History of Violence,32000000,,An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.,34.628738,23/09/2005 00:00,60740827,96,Released,6.9,832
19,62,2001: A Space Odyssey,10500000,,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",86.201184,10/04/1968 00:00,68700000,149,Released,7.9,2998
