movie_id,KeyPhrases
5,"bet,episode film,hoodlum,hotel,hotel room,los angeles,new year's eve,sperm,witch,woman director"
11,"android,death star,empire,galactic war,galaxy,hermit,jedi,lightsaber,planet,rebellion,rescue mission,smuggler,space opera,stormtrooper,the force,totalitarianism"
13,"amputee,based on novel,bully,family relationships,flashback,friendship,hippie,hugging,love,mentally disabled,military,mother son relationship,park bench,running,shrimping,vietnam,vietnam veteran,vietnam war,wounded soldier"
14,"adultery,affair,bittersweet,camcorder,coming of age,coming out,dark comedy,estate agent,exercise,female nudity,film maker,first time,loneliness,male nudity,marijuana,midlife crisis,nudity,parent child relationship,satire,suburbia,virgin"
19,"chase scene,class society,delirium,depravity,destruction,downtrodden,dystopia,future,inventor,machine town,mad scientist,man vs machine,masterpiece,metropolis,prophet,robot,saviour,silent film,tower of babel,underground world,work,worker"
22,"aftercreditsstinger,alcoholic,blacksmith,capuchin monkey,caribbean,daughter,east india trading company,exotic island,gold,gold coin,governor,jamaica,marriage proposal,mutiny,pirate,pirate ship,skeleton,swashbuckler,tortuga,wooden eye"
24,"blood,bride,coma,female yakuza,gore,japan,kung fu,martial arts,part animation,revenge,samurai sword,sword,underworld,wedding,yakuza"
25,"golf war,marine corps,petrol,saudi arabia,sniper,u.s. marine"
28,"apocalypse,army,cambodia,death,green beret,guerrilla,insanity,jungle,napalm,river,tribe,vietcong,vietnam"
33,"bounty,englishman,mutilation,one last job,prostitute,regret,reputation,revenge,right and justice,sheriff"
58,"aftercreditsstinger,bondage,captain,card game,compass,daughter,east india trading company,exotic island,fortune teller,monster,pirate,ship,swashbuckler,witch"
62,"artificial intelligence,astronaut,evolution,human being,jupiter,man vs machine,monolith,moon,moon base,space mission,space station,space travel,super computer,technology"
66,"assassination,corruption,daughter,government,rape,secret service,secret service agent,suspense,usa president,washington d.c.,white house"
70,"advancement,boxer,boxing trainer,determination,dying and death,female protagonist,sport,stroke of fate,strong woman,suicide attempt,training,transporter"
74,"airplane,alien invasion,apocalypse,daughter,dystopia,human subjugation,new jersey,post traumatic stress  disorder"
85,"archaeologist,archeologyu00a0,ark of the covenant,cairo,egypt,excavation,hat,himalaya,indiana jones,leather jacket,medallion,mediterranean,moses,nazis,nepal,riddle,saving the world,swastika,ten commandments,treasure,treasure hunt,whip"
87,"archaeologist,archeologyu00a0,belching,child driving a car,conveyor belt,cult film,eating brains,heart,indiana jones,mine car,monkey,riddle,rope bridge,skeleton,splits,thuggee,torture,treasure,treasure hunt,violence"
89,"archaeologist,archeologyu00a0,crusader,entrapment,escape,father son relationship,holy grail,indiana jones,library,nazis,order of the templars,panzer,riddle,saving the world,treasure,treasure hunt,venice,whip"
105,"car race,changing the past or future,chases and races,clock tower,delorean,destiny,disorder,escapade,fish out of water,getting home,guitar,hidden identity,inventions and discoveries,inventor,journey in the past,lightning,love and romance,mad scientist,misfit,misfit partners,odd couple,partner,plutonium,race against time,sports car,teenage life,teenage love,terrorist,time travel"
165,"almanac,alternate history,car race,delorean,diner,electric guitar,flying car,high school dance,hoverboard,inventor,lightning,sequel,skateboarding,teenager,time travel,video phone,walking cane"
180,"dystopia,evidence,future,future noir,hologram,murder,neo-noir,self-fulfilling prophecy,washington d.c."
184,"airport,arms deal,drug,police,underworld,weapon"
196,"california,cavalry,delorean,gunfight,horseback riding,indian territory,inventor,locomotive,mad scientist,native american,outlaw,railroad robber,saloon,sequel,shootout,sports car,time travel,train,western,wild west"
217,"alien phenomenons,archaeologist,archeologyu00a0,indiana jones,leather jacket,machinegun,maya civilization,mexico city,nuclear explosion,peru,refrigerator,riddle,saving the world,treasure,treasure hunt,whip"
227,"based on young adult novel,children's home,coming of age,gang,juvenile delinquent,street gang"
238,"1940s,crime family,italian american,italy,lawyer,loss of father,love at first sight,mafia,mob boss,organized crime,patriarch,rise to power"
240,"blood,bloody body of child,corrupt politician,cuba,italo-american,lawyer,mafia,man punches woman,melancholy,praise,revenge,vororte"
242,"assassination,christianity,confession,daughter,helicopter,italo-american,italy,lawyer,new york,pope,vatican"
285,"aftercreditsstinger,afterlife,alliance,calypso,drug abuse,east india trading company,exotic island,fighter,love of one's life,ocean,pirate,ship,shipwreck,strong woman,swashbuckler,traitor"
322,"arbitrary law,boston,child,child abuse,loss of child,reference to sprite,repayment,sexual abuse,suppressed past,workers' quarter"
329,"amusement park,brontosaurus,dinosaur,dna,electric fence,exotic island,island,jurassic park,paleontology,theme park,triceratops,tyrannosaurus rex"
330,"animal horror,dinosaur,dna,exotic island,jurassic park,paleontology,san diego,tyrannosaurus rex,velociraptor"
345,"christmas party,eroticism,free love,heterosexual,illegal prostitution,life and death,marijuana,masked ball,orgy,sexual obsession"
393,"aftercreditsstinger,brother brother relationship,daughter,duringcreditsstinger,katana,mother role,rage and hate,right and justice,single,swordplay"
424,"biography,concentration camp,defense industry,factory,hero,holocaust,nazis,the holocaust,world war ii"
500,"all male cast,betrayal,ensemble cast,escape,foreshadowing,gang,heist,heist gone wrong,iconic,jewelry,mystery,plan gone wrong,psychopath,rag tag group,rendezvous,set in one room,thief,told in flashback,traitor,uneasy alliance,warehouse"
578,"animal horror,atlantic ocean,bathing,dolly zoom,dying and death,ferry boat,fishing,great white shark,police chief,shark,shipwreck"
592,"audio tape,paranoia,san francisco,shadowing,wiretap"
594,"airport,autograph,craftsman,eastern europe,fast food restaurant,friendship,illegal immigration,immigration law,jazz musician,jfk international airport,language barrier,marriage proposal,new york,passport,saxophonist,security camera,stewardess,translation"
601,"extraterrestrial technology,farewell,finger,flowerpot,flying saucer,halloween,hiding place,homesickness,loss of father,nasa,operation,prosecution,riding a bicycle,single,space marine"
612,"1970s,ailul al aswad,assassination,baader-meinhof group,beirut,bomb constructor,hostage,hotel room,intelligence,israel,israeli,mossad,munich,olympian village,olympic games,palestinian,paris,plo,revenge"
640,"attempted jailbreak,bank fraud,biography,con man,engagement party,fbi agent,inspired by a true story,mislaid trust,overhead camera shot"
644,"adoption,alien,android,artificial intelligence,capture,destiny,doppelganger,dystopia,extraterrestrial technology,fairy tale,gigolo,hologram,ice age,loss of mother,pinocchio,prophecy,prosecution,prostitute"
