movie_id,language_name,language_role
5,English,Spoken
11,English,Spoken
12,English,Spoken
13,English,Spoken
14,English,Spoken
16,English,Spoken
18,English,Spoken
22,English,Spoken
24,English,Spoken
25,English,Spoken
28,English,Spoken
33,English,Spoken
35,English,Spoken
38,English,Spoken
58,English,Spoken
59,English,Spoken
62,English,Spoken
65,English,Spoken
66,English,Spoken
69,English,Spoken
70,English,Spoken
71,English,Spoken
73,English,Spoken
74,English,Spoken
75,English,Spoken
76,English,Spoken
77,English,Spoken
78,English,Spoken
80,English,Spoken
83,English,Spoken
85,English,Spoken
87,English,Spoken
89,English,Spoken
90,English,Spoken
95,English,Spoken
96,English,Spoken
98,English,Spoken
100,English,Spoken
103,English,Spoken
104,English,Spoken
105,English,Spoken
106,English,Spoken
107,English,Spoken
111,English,Spoken
114,English,Spoken
115,English,Spoken
116,English,Spoken
117,English,Spoken
118,English,Spoken
120,English,Spoken
121,English,Spoken
122,English,Spoken
134,English,Spoken
137,English,Spoken
141,English,Spoken
142,English,Spoken
152,English,Spoken
153,English,Spoken
154,English,Spoken
155,English,Spoken
157,English,Spoken
161,English,Spoken
162,English,Spoken
163,English,Spoken
165,English,Spoken
167,English,Spoken
168,English,Spoken
169,English,Spoken
170,English,Spoken
172,English,Spoken
173,English,Spoken
174,English,Spoken
176,English,Spoken
177,English,Spoken
179,English,Spoken
180,English,Spoken
182,English,Spoken
184,English,Spoken
186,English,Spoken
187,English,Spoken
189,English,Spoken
193,English,Spoken
196,English,Spoken
197,English,Spoken
199,English,Spoken
200,English,Spoken
201,English,Spoken
203,English,Spoken
205,English,Spoken
207,English,Spoken
214,English,Spoken
215,English,Spoken
217,English,Spoken
218,English,Spoken
223,English,Spoken
226,English,Spoken
227,English,Spoken
231,English,Spoken
235,English,Spoken
238,English,Spoken
239,English,Spoken
240,English,Spoken
242,English,Spoken
243,English,Spoken
245,English,Spoken
248,English,Spoken
251,English,Spoken
252,English,Spoken
253,English,Spoken
254,English,Spoken
257,English,Spoken
261,English,Spoken
268,English,Spoken
272,English,Spoken
274,English,Spoken
277,English,Spoken
278,English,Spoken
279,English,Spoken
280,English,Spoken
284,English,Spoken
285,English,Spoken
288,English,Spoken
289,English,Spoken
291,English,Spoken
292,English,Spoken
296,English,Spoken
297,English,Spoken
298,English,Spoken
302,English,Spoken
306,English,Spoken
310,English,Spoken
314,English,Spoken
319,English,Spoken
320,English,Spoken
321,English,Spoken
322,English,Spoken
326,English,Spoken
327,English,Spoken
329,English,Spoken
330,English,Spoken
331,English,Spoken
334,English,Spoken
335,English,Spoken
345,English,Spoken
348,English,Spoken
350,English,Spoken
364,English,Spoken
377,English,Spoken
380,English,Spoken
387,English,Spoken
388,English,Spoken
389,English,Spoken
392,English,Spoken
393,English,Spoken
395,English,Spoken
398,English,Spoken
400,English,Spoken
401,English,Spoken
