production_co_id,movie_id
1,5
1,24
1,184
1,189
1,392
1,393
1,400
1,409
1,489
1,590
1,627
1,634
1,680
1,866
1,921
1,1024
1,1213
1,1360
1,1412
1,1574
1,1722
1,1934
1,1947
1,1999
1,2026
1,2074
1,2142
1,2255
1,2289
1,2292
1,2567
1,2752
1,3131
1,3472
1,4233
1,4380
1,4912
1,6440
1,6977
1,7288
1,7345
1,8198
1,8545
1,8744
1,8999
1,9093
1,9344
1,9495
1,9515
1,9541
1,9716
1,9778
1,9782
1,9801
1,9819
1,9821
1,9903
2,5
2,24
2,393
2,680
2,755
3,11
3,85
3,87
3,89
3,217
3,838
3,1891
3,1892
3,1893
3,1894
3,1895
4,11
4,35
4,106
4,162
4,169
4,180
4,348
4,350
4,395
4,425
4,435
4,440
4,454
4,496
4,526
4,544
4,562
4,597
4,602
4,615
4,642
4,679
4,768
4,771
4,772
4,788
4,794
4,824
4,846
4,869
4,990
4,1051
4,1495
4,1542
4,1571
4,1572
4,1573
4,1593
4,1620
4,1636
4,1637
4,1639
4,1685
4,1687
4,1688
4,1705
4,1792
4,1891
4,1892
4,1979
4,2048
4,2080
4,2123
4,2140
4,2280
4,2486
4,2655
4,2661
4,2756
4,3034
4,3050
4,4147
4,4958
4,5722
4,5820
4,6071
4,6972
4,6978
4,7450
4,7512
4,8007
4,8077
4,8078
4,8095
4,8358
4,8619
4,8645
4,8681
4,8698
4,8836
4,8859
4,8920
4,8975
4,9029
4,9208
4,9279
4,9289
4,9335
4,9427
4,9443
4,9444
4,9452
4,9454
4,9472
4,9513
4,9548
4,9591
4,9600
4,9616
4,9641
4,9715
4,9760
4,9882
4,9889
4,9900
4,9947
5,12
5,585
5,862
5,863
5,920
5,2062
5,9487
5,9806
6,13
6,19
6,74
6,85
6,87
6,89
6,90
6,96
6,117
6,152
6,154
6,157
6,168
6,172
6,174
6,193
6,199
6,200
6,201
6,217
6,238
6,240
6,242
6,251
6,252
6,306
6,335
6,479
6,535
6,539
6,590
6,592
6,597
6,621
6,744
6,754
6,805
6,813
6,848
6,853
6,857
6,954
6,955
6,956
6,1125
6,1213
6,1537
6,1538
6,1584
6,1587
6,1621
6,1669
6,1788
6,1831
6,1852
6,1858
6,1903
6,1949
6,1995
6,1996
6,2043
6,2112
6,2119
6,2163
6,2270
6,2275
6,2310
6,2907
6,3179
6,3981
6,3989
6,4105
6,4614
6,4806
6,4922
6,5137
6,5971
6,6877
6,6963
6,7191
6,7214
6,7305
6,7364
6,7485
6,8069
6,8080
6,8193
6,8202
6,8204
6,8271
6,8292
6,8373
6,8413
6,8416
6,8457
6,8649
6,8656
6,8665
6,8688
6,8842
6,8849
6,8872
6,8913
6,8970
6,8988
6,9012
6,9089
6,9093
6,9271
6,9281
6,9291
6,9331
6,9341
6,9353
6,9396
6,9398
6,9422
6,9429
6,9437
6,9451
6,9473
6,9562
6,9603
6,9620
6,9621
6,9647
6,9671
6,9725
6,9728
6,9730
6,9731
6,9826
6,9869
6,9890
6,9896
6,9907
6,9919
6,9942
6,9986
6,10003
6,10060
6,10061
7,14
7,74
7,98
7,180
7,453
7,594
7,612
7,644
7,693
7,808
7,809
7,810
7,857
7,926
7,953
7,1125
7,1251
7,1538
7,1597
7,1635
7,1858
7,1904
7,2100
