company_name,production_co_id
Miramax Films,1
A Band Apart,2
Lucasfilm,3
Twentieth Century Fox Film Corporation,4
Pixar Animation Studios,5
Paramount Pictures,6
DreamWorks SKG,7
Jinks/Cohen Company,8
Liberator Productions,9
Danmarks Radio (DR),10
Icelandic Film,11
SVT Drama,12
Film i Vu00e4st,13
Arte,14
Angel films,15
Pain Unlimited GmbH Filmproduktion,16
Memfis Film,17
TV 1000,18
Canal+,19
Trust Film Svenska,20
Cinematograph A/S,21
What Else? B.V,22
Filmek A/S,23
Lantia Cinema & Audiovisivi,24
Constantin Film Produktion,25
France 3 Cinu00e9ma,26
Yleisradio (YLE),27
Arte France Cinu00e9ma,28
Westdeutscher Rundfunk (WDR),29
Blind Spot Pictures Oy,30
Zentropa Entertainments,31
Fine Line Features,32
Vrijzinnig Protestantse Radio Omroep (VPRO),33
Film4,34
Columbia Pictures,35
Gaumont,36
Universum Film (UFA),37
El Deseo,38
Milestone Productions,39
Jerry Bruckheimer Films,40
Walt Disney Pictures,41
Super Cool ManChu,42
Red Wagon Entertainment,43
Neal Street Productions,44
Motion Picture KAPPA Produktionsgesellschaft,45
Universal Pictures,46
Zoetrope Studios,47
United Artists,48
Malpaso Productions,49
Warner Bros.,50
Gracie Films,51
Anonymous Content,52
This Is That Productions,53
Focus Features,54
Zeta Film,55
Altavista Films,56
Second Mate Productions,57
New Line Cinema,58
DC Comics,59
BenderSpink,60
Stanley Kubrick Productions,61
Metro-Goldwyn-Mayer (MGM),62
Imagine Entertainment,63
Mikona Productions GmbH & Co. KG,64
Castle Rock Entertainment,65
Embassy International Pictures,66
Mars Media Beteiligungs,67
Fox 2000 Pictures,68
Tree Line Films,69
Konrad Pictures,70
Catfish Productions,71
Epsilon Motion Pictures,72
Lakeshore Entertainment,73
Albert S. Ruddy Productions,74
Working Title Films,75
WT2 Productions,76
BBC Films,77
Tiger Aspect Productions,78
StudioCanal,79
Arts Council of England,80
Savoy Pictures,81
The Turman-Morrissey Company,82
Cruise/Wagner Productions,83
Amblin Entertainment,84
Tim Burton Productions,85
Detour Film Production,86
I Remember Productions,87
Summit Entertainment,88
Newmarket Capital Group,89
Team Todd,90
Shaw Brothers,91
